date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,40,0,0,0
2021-04-01,Sweden,0,10,0,0,0
2021-04-01,Japan,0,124,0,0,0
2021-04-02,Afghanistan,0,30,10,0,0
2021-04-02,Sweden,0,9,1,0,0
2021-04-02,Japan,0,84,40,0,0
2021-04-03,Afghanistan,0,24,16,0,0
2021-04-03,Sweden,0,7,3,0,0
2021-04-03,Japan,0,68,56,0,0
2021-04-04,Afghanistan,0,19,21,0,0
2021-04-04,Sweden,0,4,6,0,0
2021-04-04,Japan,0,54,70,0,0
2021-04-05,Afghanistan,0,16,24,0,0
2021-04-05,Sweden,0,3,7,0,0
2021-04-05,Japan,0,42,82,0,0
2021-04-06,Afghanistan,0,13,17,5,5
2021-04-06,Sweden,0,2,7,0,1
2021-04-06,Japan,0,26,58,22,18
2021-04-07,Afghanistan,0,12,12,8,8
2021-04-07,Sweden,0,1,6,0,3
2021-04-07,Japan,0,20,48,31,25
2021-04-08,Afghanistan,0,10,9,11,10
2021-04-08,Sweden,0,1,3,2,4
2021-04-08,Japan,0,12,42,35,35
2021-04-09,Afghanistan,0,8,8,12,12
2021-04-09,Sweden,0,1,2,2,5
2021-04-09,Japan,0,8,34,40,42
2021-04-10,Afghanistan,0,7,6,13,14
2021-04-10,Sweden,0,1,1,2,6
2021-04-10,Japan,0,6,20,47,51
2021-04-11,Afghanistan,0,7,5,13,15
2021-04-11,Sweden,0,1,0,2,7
2021-04-11,Japan,0,5,15,48,56
2021-04-12,Afghanistan,0,7,3,15,15
2021-04-12,Sweden,0,1,0,2,7
2021-04-12,Japan,0,4,8,53,59
2021-04-13,Afghanistan,0,7,1,16,16
2021-04-13,Sweden,0,1,0,2,7
2021-04-13,Japan,0,4,4,54,62
2021-04-14,Afghanistan,0,7,0,16,17
2021-04-14,Sweden,0,0,1,2,7
2021-04-14,Japan,0,2,4,54,64
2021-04-15,Afghanistan,0,5,2,16,17
2021-04-15,Sweden,0,0,1,2,7
2021-04-15,Japan,0,2,3,54,65
2021-04-16,Afghanistan,0,4,3,16,17
2021-04-16,Sweden,0,0,1,2,7
2021-04-16,Japan,0,2,2,54,66
2021-04-17,Afghanistan,0,4,3,16,17
2021-04-17,Sweden,0,0,1,2,7
2021-04-17,Japan,0,2,2,54,66
2021-04-18,Afghanistan,0,3,4,16,17
2021-04-18,Sweden,0,0,0,2,8
2021-04-18,Japan,0,2,0,54,68
2021-04-19,Afghanistan,0,3,2,18,17
2021-04-19,Sweden,0,0,0,2,8
2021-04-19,Japan,0,2,0,54,68
2021-04-20,Afghanistan,0,3,1,24,12
2021-04-20,Sweden,1,0,0,2,7
2021-04-20,Japan,2,1,1,70,50
2021-04-21,Afghanistan,0,3,1,27,9
2021-04-21,Sweden,1,0,0,4,5
2021-04-21,Japan,4,1,1,75,43
2021-04-22,Afghanistan,0,3,0,30,7
2021-04-22,Sweden,2,0,0,4,4
2021-04-22,Japan,4,0,2,85,33
2021-04-23,Afghanistan,0,3,0,32,5
2021-04-23,Sweden,3,0,0,4,3
2021-04-23,Japan,8,0,2,88,26
2021-04-24,Afghanistan,0,3,0,34,3
2021-04-24,Sweden,4,0,0,4,2
2021-04-24,Japan,9,0,1,97,17
2021-04-25,Afghanistan,0,3,0,35,2
2021-04-25,Sweden,4,0,0,5,1
2021-04-25,Japan,12,0,1,99,12
2021-04-26,Afghanistan,0,3,0,35,2
2021-04-26,Sweden,4,0,0,5,1
2021-04-26,Japan,13,0,0,102,9
2021-04-27,Afghanistan,0,2,1,36,1
2021-04-27,Sweden,4,0,0,5,1
2021-04-27,Japan,13,0,0,105,6
2021-04-28,Afghanistan,0,2,1,37,0
2021-04-28,Sweden,4,0,0,5,1
2021-04-28,Japan,14,0,0,106,4
2021-04-29,Afghanistan,0,2,1,37,0
2021-04-29,Sweden,4,0,0,5,1
2021-04-29,Japan,14,0,0,107,3
2021-04-30,Afghanistan,0,1,2,37,0
2021-04-30,Sweden,4,0,0,5,1
2021-04-30,Japan,14,0,0,108,2
2021-05-01,Afghanistan,0,1,1,37,1
2021-05-01,Sweden,4,0,0,5,1
2021-05-01,Japan,14,0,0,108,2
2021-05-02,Afghanistan,0,1,1,37,1
2021-05-02,Sweden,4,0,0,6,0
2021-05-02,Japan,14,0,0,110,0
2021-05-03,Afghanistan,0,1,1,37,1
2021-05-03,Sweden,4,0,0,6,0
2021-05-03,Japan,14,0,0,110,0
2021-05-04,Afghanistan,0,1,0,38,1
2021-05-04,Sweden,4,0,0,6,0
2021-05-04,Japan,14,0,0,110,0
2021-05-05,Afghanistan,0,1,0,38,1
2021-05-05,Sweden,4,0,0,6,0
2021-05-05,Japan,14,0,0,110,0
2021-05-06,Afghanistan,0,1,0,38,1
2021-05-06,Sweden,4,0,0,6,0
2021-05-06,Japan,14,0,0,110,0
2021-05-07,Afghanistan,0,0,1,38,1
2021-05-07,Sweden,4,0,0,6,0
2021-05-07,Japan,14,0,0,110,0
2021-05-08,Afghanistan,0,0,1,38,1
2021-05-08,Sweden,4,0,0,6,0
2021-05-08,Japan,14,0,0,110,0
2021-05-09,Afghanistan,0,0,1,38,1
2021-05-09,Sweden,4,0,0,6,0
2021-05-09,Japan,14,0,0,110,0
2021-05-10,Afghanistan,0,0,1,38,1
2021-05-10,Sweden,4,0,0,6,0
2021-05-10,Japan,14,0,0,110,0
2021-05-11,Afghanistan,0,0,0,39,1
2021-05-11,Sweden,4,0,0,6,0
2021-05-11,Japan,14,0,0,110,0
2021-05-12,Afghanistan,0,0,0,39,1
2021-05-12,Sweden,4,0,0,6,0
2021-05-12,Japan,14,0,0,110,0
2021-05-13,Afghanistan,0,0,0,39,1
2021-05-13,Sweden,4,0,0,6,0
2021-05-13,Japan,14,0,0,110,0
2021-05-14,Afghanistan,0,0,0,39,1
2021-05-14,Sweden,4,0,0,6,0
